,cod_location,date_id,total_cases
43512,174,20201027,24080.0
43513,174,20201028,25603.0
43514,174,20201029,28215.0
43524,175,20201025,4.0
43525,175,20201026,4.0
43526,175,20201027,4.0
43527,175,20201028,8.0
43528,175,20201029,8.0
43751,176,20201025,3897.0
43752,176,20201026,3941.0
43753,176,20201027,3941.0
43754,176,20201028,3941.0
43755,176,20201029,3941.0
44017,177,20201025,714246.0
44018,177,20201026,715868.0
44019,177,20201027,716759.0
44020,177,20201028,717851.0
44021,177,20201029,719714.0
44321,178,20201025,25836.0
44322,178,20201026,25955.0
44323,178,20201027,26043.0
44324,178,20201028,26146.0
44325,178,20201029,26271.0
44528,179,20201025,2878.0
44529,179,20201026,2883.0
44530,179,20201027,2883.0
44531,179,20201028,2890.0
44532,179,20201029,2890.0
44831,180,20201024,1046132.0
44832,180,20201025,1046132.0
44833,180,20201026,1098320.0
44834,180,20201027,1116738.0
44835,180,20201028,1136503.0
45135,181,20201025,7521.0
45136,181,20201026,7872.0
45137,181,20201027,8413.0
45138,181,20201028,8870.0
45139,181,20201029,9205.0
45365,182,20201025,13742.0
45366,182,20201026,13742.0
45367,182,20201027,13747.0
45368,182,20201028,13765.0
45369,182,20201029,13765.0
45589,183,20201025,5166.0
45590,183,20201026,5170.0
45591,183,20201027,5180.0
45592,183,20201028,5187.0
45593,183,20201029,5187.0
45818,184,20201025,5847.0
45819,184,20201026,5854.0
45820,184,20201027,5863.0
45821,184,20201028,5875.0
45822,184,20201029,5886.0
46121,185,20201024,112867.0
46122,185,20201025,114345.0
46123,185,20201026,114861.0
46124,185,20201027,115933.0
46125,185,20201028,117913.0
46425,186,20201025,103323.0
46426,186,20201026,103323.0
46427,186,20201027,120680.0
46428,186,20201028,127042.0
46429,186,20201029,135197.0
46646,187,20201025,5359.0
46647,187,20201026,5408.0
46648,187,20201027,5461.0
46649,187,20201028,5528.0
46650,187,20201029,5580.0
46950,188,20201025,550.0
46951,188,20201026,550.0
46952,188,20201027,550.0
46953,188,20201028,550.0
46954,188,20201029,553.0
47132,189,20201025,10736.0
47133,189,20201026,10776.0
47134,189,20201027,10819.0
47135,189,20201028,10860.0
47136,189,20201029,10900.0
47359,190,20201025,509.0
47360,190,20201026,509.0
47361,190,20201027,509.0
47362,190,20201028,509.0
47363,190,20201029,509.0
47663,191,20201025,3736.0
47664,191,20201026,3743.0
47665,191,20201027,3746.0
47666,191,20201028,3759.0
47667,191,20201029,3763.0
47885,192,20201025,29.0
47886,192,20201026,29.0
47887,192,20201027,30.0
47888,192,20201028,30.0
47889,192,20201029,30.0
48125,193,20201025,2187.0
48126,193,20201026,2200.0
48127,193,20201027,2204.0
48128,193,20201028,2229.0
48129,193,20201029,2238.0
48356,194,20201025,5503.0
48357,194,20201026,5511.0
48358,194,20201027,5535.0
48359,194,20201028,5568.0
48360,194,20201029,5594.0
48592,195,20201025,48799.0
48593,195,20201026,48799.0
48594,195,20201027,52399.0
48595,195,20201028,52399.0
48596,195,20201029,54278.0
48822,196,20201025,359784.0
48823,196,20201026,361801.0
48824,196,20201027,363999.0
48825,196,20201028,366208.0
