,cod_location,date_id,total_cases
17360,66,20201101,34.0
17361,66,20201102,34.0
17670,67,20201029,15378.0
17671,67,20201030,15566.0
17672,67,20201031,15910.0
17673,67,20201101,16113.0
17674,67,20201102,16291.0
17983,68,20201029,1235132.0
17984,68,20201030,1282769.0
17985,68,20201031,1331984.0
17986,68,20201101,1364625.0
17987,68,20201102,1413915.0
18217,69,20201029,6493.0
18218,69,20201030,7262.0
18219,69,20201031,7262.0
18220,69,20201101,7262.0
18221,69,20201102,7262.0
18456,70,20201029,8957.0
18457,70,20201030,8957.0
18458,70,20201031,8968.0
18459,70,20201101,8968.0
18460,70,20201102,8968.0
18691,71,20201029,3666.0
18692,71,20201030,3666.0
18693,71,20201031,3670.0
18694,71,20201101,3672.0
18695,71,20201102,3672.0
19004,72,20201029,35567.0
19005,72,20201030,37263.0
19006,72,20201031,38936.0
19007,72,20201101,40727.0
19008,72,20201102,42579.0
19317,73,20201029,481013.0
19318,73,20201030,499694.0
19319,73,20201031,518753.0
19320,73,20201101,532930.0
19321,73,20201102,545027.0
19556,74,20201029,47775.0
19557,74,20201030,48055.0
19558,74,20201031,48055.0
19559,74,20201101,48124.0
19560,74,20201102,48124.0
19789,75,20201029,682.0
19790,75,20201030,688.0
19791,75,20201031,693.0
19792,75,20201101,697.0
19793,75,20201102,703.0
20102,76,20201029,34299.0
20103,76,20201030,35510.0
20104,76,20201031,37196.0
20105,76,20201101,39251.0
20106,76,20201102,40929.0
20335,77,20201029,17.0
20336,77,20201030,17.0
20337,77,20201031,17.0
20338,77,20201101,17.0
20339,77,20201102,17.0
20565,78,20201029,28.0
20566,78,20201030,28.0
20567,78,20201031,28.0
20568,78,20201101,28.0
20569,78,20201102,28.0
20799,79,20201029,4466.0
20800,79,20201030,4466.0
20801,79,20201031,4681.0
20802,79,20201101,4690.0
20803,79,20201102,4693.0
21064,80,20201029,106320.0
21065,80,20201030,106790.0
21066,80,20201031,107339.0
21067,80,20201101,107939.0
21068,80,20201102,108104.0
21297,81,20201029,267.0
21298,81,20201030,267.0
21299,81,20201031,267.0
21300,81,20201101,268.0
21301,81,20201102,270.0
21535,82,20201029,11819.0
21536,82,20201030,12020.0
21537,82,20201031,12072.0
21538,82,20201101,12072.0
21539,82,20201102,12195.0
21761,83,20201029,2403.0
21762,83,20201030,2403.0
21763,83,20201031,2403.0
21764,83,20201101,2413.0
21765,83,20201102,2413.0
21999,84,20201029,4074.0
22000,84,20201030,4098.0
22001,84,20201031,4143.0
22002,84,20201101,4162.0
22003,84,20201102,4208.0
22232,85,20201029,9046.0
22233,85,20201030,9054.0
22234,85,20201031,9054.0
22235,85,20201101,9054.0
22236,85,20201102,9054.0
22471,86,20201029,95199.0
22472,86,20201030,96150.0
22473,86,20201031,96888.0
22474,86,20201101,97404.0
22475,86,20201102,98212.0
22536,87,20201018,0.0
22537,87,20201019,0.0
22538,87,20201020,0.0
22539,87,20201021,0.0
22540,87,20201022,0.0
